"","Bullinger","HSCR","Ligene","LSC17","LSCR","Marcucci","Metzeler86","Tobias"
"GSM158785","1","0","0","0","0","1","0","1"
"GSM158786","0","1","1","1","1","0","1","0"
"GSM158787","1","1","1","1","1","1","1","0"
"GSM158788","0","0","0","0","0","0","0","0"
"GSM158789","0","0","0","0","0","0","0","1"
"GSM158790","0","0","0","0","0","0","1","1"
"GSM158791","0","1","1","1","1","0","1","0"
"GSM158792","0","0","0","0","0","0","1","1"
"GSM158793","1","1","1","1","1","1","1","0"
"GSM158794","0","1","1","1","0","0","1","0"
"GSM158795","1","0","0","0","0","1","0","0"
"GSM158796","1","0","0","0","0","1","1","1"
"GSM158797","1","0","0","0","0","1","0","0"
"GSM158798","0","0","0","0","1","0","1","0"
"GSM158799","0","1","1","1","1","1","1","0"
"GSM158800","1","1","1","1","1","1","1","0"
"GSM158801","1","1","0","0","0","1","1","0"
"GSM158802","0","1","1","1","1","0","1","0"
"GSM158803","0","0","0","1","0","0","1","0"
"GSM158804","1","1","1","1","1","1","1","0"
"GSM158805","0","0","1","0","1","0","1","0"
"GSM158806","1","0","0","0","0","1","1","0"
"GSM158807","0","1","1","1","1","1","1","1"
"GSM158808","0","0","0","0","0","0","1","1"
"GSM158809","1","0","0","0","0","1","1","0"
"GSM158810","0","1","1","1","1","0","1","0"
"GSM158811","0","1","1","1","0","0","1","0"
"GSM158812","0","1","1","1","1","0","1","0"
"GSM158813","0","1","1","1","1","0","1","0"
"GSM158814","0","0","0","0","0","0","1","1"
"GSM158815","1","0","1","1","1","1","1","0"
"GSM158816","1","0","0","0","0","1","0","1"
"GSM158817","1","0","0","0","0","1","1","0"
"GSM158818","1","1","0","1","1","1","1","0"
"GSM158819","0","1","1","0","1","0","1","0"
"GSM158820","0","0","1","1","0","0","1","0"
"GSM158821","1","1","1","1","1","1","1","0"
"GSM158822","0","0","0","0","0","0","0","1"
"GSM158823","0","1","1","1","1","1","1","0"
"GSM158824","1","0","0","1","1","0","1","0"
"GSM158825","1","1","1","1","1","1","1","0"
"GSM158826","0","1","1","1","1","0","1","0"
"GSM158827","0","0","0","0","0","1","1","0"
"GSM158828","0","1","1","1","1","1","1","0"
"GSM158829","1","0","0","0","0","1","0","0"
"GSM158830","0","0","1","1","0","0","1","0"
"GSM158831","0","0","0","0","0","0","0","1"
"GSM158832","1","1","1","0","0","1","1","0"
"GSM158833","0","1","1","0","0","0","1","0"
"GSM158834","0","1","1","1","1","1","1","0"
"GSM158835","0","0","0","0","0","0","1","0"
"GSM158836","0","0","0","0","0","0","1","0"
"GSM158837","1","1","1","1","1","1","1","0"
"GSM158838","1","0","0","0","0","1","0","0"
"GSM158839","0","0","1","1","0","0","1","0"
"GSM158840","1","1","0","1","1","1","1","1"
"GSM158841","0","1","1","1","1","0","1","0"
"GSM158842","1","0","0","0","0","1","1","0"
"GSM158843","1","1","1","1","1","1","1","0"
"GSM158844","0","1","0","0","0","0","1","1"
"GSM158846","0","1","1","1","1","1","1","0"
"GSM158847","1","0","0","0","0","0","1","0"
"GSM158848","1","0","0","0","0","1","0","0"
"GSM158849","0","1","1","1","0","0","1","0"
"GSM158850","1","0","0","0","0","1","0","0"
"GSM158851","0","1","1","1","1","0","1","0"
"GSM158852","1","0","0","1","1","1","1","1"
"GSM158853","0","1","1","1","1","0","1","0"
"GSM158854","1","0","0","0","0","1","0","1"
"GSM158855","0","1","0","0","1","0","1","0"
"GSM158856","0","1","1","0","1","0","1","1"
"GSM158857","1","0","0","0","0","1","0","1"
"GSM158858","1","0","0","0","0","1","1","0"
"GSM158859","0","1","1","1","1","1","1","0"
"GSM158860","0","1","1","1","1","0","1","0"
"GSM158861","0","0","0","0","0","0","1","0"
"GSM158862","0","0","0","1","0","0","1","0"
"GSM158863","0","1","1","1","1","1","1","0"
"GSM158864","1","0","0","0","0","1","0","0"
"GSM158865","1","1","1","1","1","1","1","0"
"GSM158866","0","1","1","1","1","1","1","0"
"GSM158867","1","1","1","1","1","1","1","0"
"GSM158868","0","1","0","1","1","1","1","1"
"GSM158869","1","0","0","0","0","0","1","1"
"GSM158870","0","0","0","0","0","0","1","0"
"GSM158871","0","1","1","0","1","1","1","0"
"GSM158872","0","1","1","0","0","0","1","0"
"GSM158873","0","1","0","1","1","0","1","0"
"GSM158874","1","0","0","0","0","0","0","1"
"GSM158875","0","0","0","0","0","0","0","0"
"GSM158876","1","1","0","0","1","1","1","1"
"GSM158877","0","1","1","1","1","1","1","0"
"GSM158878","0","1","0","1","1","1","1","0"
"GSM158879","0","0","0","0","0","0","1","1"
"GSM158880","1","0","0","0","0","1","1","0"
"GSM158881","0","0","0","0","0","0","1","1"
"GSM158882","0","1","1","0","0","0","1","0"
"GSM158883","1","1","0","1","1","1","1","0"
"GSM158884","1","1","0","1","1","1","1","0"
"GSM158885","0","1","1","1","0","0","1","0"
"GSM158886","1","0","0","0","0","1","0","0"
"GSM158887","1","1","0","0","1","1","0","1"
"GSM158888","0","1","1","1","1","1","1","0"
"GSM158889","1","0","1","0","0","1","1","0"
"GSM158890","0","1","1","0","0","1","1","0"
"GSM158891","1","1","0","0","1","1","1","0"
"GSM158892","1","0","0","0","0","1","0","1"
"GSM158893","1","0","0","1","1","1","1","1"
"GSM158894","0","0","1","0","0","0","1","0"
"GSM158895","1","1","0","1","1","0","1","0"
"GSM158896","1","0","1","1","1","1","1","0"
"GSM158897","0","1","1","0","1","1","1","0"
"GSM158898","1","1","1","1","1","1","1","0"
"GSM158899","0","0","1","1","1","0","1","0"
"GSM158900","0","0","1","1","0","0","1","0"
"GSM158901","0","0","0","0","0","0","1","1"
"GSM158902","0","1","1","0","1","0","1","0"
"GSM158903","0","1","1","1","1","1","1","0"
"GSM158904","0","0","1","1","0","0","1","0"
"GSM158905","0","0","1","0","0","0","1","0"
"GSM158906","0","1","0","0","0","0","1","0"
"GSM158907","0","1","1","0","1","0","1","0"
"GSM158908","1","0","0","0","0","1","0","1"
"GSM158909","1","1","1","1","1","1","1","0"
"GSM158910","0","0","0","0","0","0","0","0"
"GSM158911","0","1","0","1","1","1","1","1"
"GSM158912","0","1","1","1","1","1","1","0"
"GSM158913","1","0","0","0","0","0","1","1"
"GSM158914","0","1","1","1","1","1","1","0"
"GSM158915","0","0","1","1","0","0","1","0"
"GSM158916","1","1","1","1","1","1","1","0"
"GSM158917","1","0","0","1","1","1","1","0"
"GSM158918","1","0","1","1","0","0","1","0"
"GSM158919","0","0","0","0","0","0","1","0"
"GSM158920","0","1","1","1","1","1","1","0"
"GSM158921","0","1","1","1","0","1","1","0"
"GSM158922","0","0","0","0","0","0","1","0"
"GSM158923","0","1","1","1","0","0","1","0"
"GSM158924","1","1","1","1","1","1","1","1"
"GSM158925","0","1","1","1","0","0","1","0"
"GSM158926","0","0","1","0","0","0","1","1"
"GSM158927","0","1","1","1","1","0","1","0"
"GSM158928","0","1","1","1","1","0","1","0"
"GSM158929","1","0","0","0","0","1","0","1"
"GSM158930","0","0","0","0","0","1","0","1"
"GSM158931","0","0","0","0","0","0","1","0"
"GSM158932","1","1","0","0","1","1","1","0"
"GSM158933","1","0","0","0","0","1","0","0"
"GSM158934","0","0","0","0","0","0","1","0"
"GSM158935","0","1","0","0","0","0","1","0"
"GSM158936","0","0","1","1","1","0","1","0"
"GSM158937","0","1","1","1","1","1","1","0"
"GSM158938","1","1","1","1","1","0","1","0"
"GSM158939","0","0","0","0","0","0","1","0"
"GSM158940","1","1","0","0","1","1","1","0"
"GSM158941","1","0","0","0","0","0","0","0"
"GSM158942","1","0","1","1","1","1","1","0"
"GSM158943","0","1","1","1","1","1","1","0"
"GSM158944","0","0","1","0","0","1","1","0"
"GSM158945","0","0","1","1","0","0","1","0"
"GSM158946","1","1","0","1","1","1","1","0"
"GSM158947","0","0","1","0","1","0","1","1"
"GSM158948","0","1","1","1","1","1","1","0"
"GSM158949","1","0","0","0","0","0","1","0"
"GSM158950","1","0","0","0","0","1","1","0"
"GSM158951","0","1","1","1","1","0","1","0"
"GSM158952","1","0","0","0","0","1","1","0"
"GSM158953","0","1","1","0","0","0","1","0"
"GSM158954","1","1","1","1","1","1","1","0"
"GSM158955","1","1","1","1","1","1","1","1"
"GSM158956","1","1","1","1","1","1","1","0"
"GSM158957","1","1","1","1","1","1","1","0"
"GSM158958","1","0","0","0","0","1","0","1"
"GSM158959","0","1","1","1","1","0","1","0"
"GSM158960","1","0","0","0","1","1","1","0"
"GSM158961","1","0","0","0","0","1","0","0"
"GSM158962","1","0","0","0","0","0","1","0"
"GSM158963","1","0","0","0","0","0","1","0"
"GSM158964","0","1","1","1","1","1","1","0"
"GSM158965","0","1","1","0","0","1","1","0"
"GSM158966","0","1","0","0","0","0","1","0"
"GSM158967","1","0","0","0","0","1","0","0"
"GSM158968","0","0","0","0","0","0","1","0"
"GSM158969","0","1","1","1","0","0","1","0"
"GSM158970","0","0","1","1","0","0","1","0"
"GSM158971","1","0","1","0","1","1","1","0"
"GSM158972","0","1","1","1","1","1","1","1"
"GSM158973","0","0","0","0","1","0","1","0"
"GSM158974","1","1","1","1","1","1","1","0"
"GSM158975","0","1","1","1","0","0","1","0"
"GSM158976","1","1","1","1","1","1","1","0"
"GSM158977","0","0","0","0","0","0","0","1"
"GSM158978","0","1","1","1","1","1","1","0"
"GSM158979","0","0","0","0","0","0","1","0"
"GSM158980","1","1","0","1","0","0","1","0"
"GSM158981","1","1","1","1","1","1","1","0"
"GSM158982","0","0","0","0","0","0","1","0"
"GSM158983","0","0","0","0","0","0","1","0"
"GSM158984","0","1","1","1","1","1","1","0"
"GSM158985","0","1","1","1","1","1","1","0"
"GSM158986","1","1","0","1","1","1","1","0"
"GSM158987","1","1","1","1","1","1","1","0"
"GSM158988","0","1","1","0","0","0","1","0"
"GSM158990","1","0","0","0","0","1","0","1"
"GSM158991","0","1","1","1","0","0","1","0"
"GSM158992","1","1","1","1","1","1","1","0"
"GSM158993","0","0","0","1","0","0","1","0"
"GSM158994","0","1","1","1","1","0","1","0"
"GSM158995","0","1","1","0","0","0","0","0"
"GSM158996","1","1","0","0","0","1","0","1"
"GSM158997","1","0","0","0","0","0","1","1"
"GSM158998","0","1","1","1","1","0","1","0"
"GSM158999","0","0","1","1","0","0","1","0"
"GSM159000","0","1","1","1","1","0","1","0"
"GSM159001","1","1","1","1","1","1","1","0"
"GSM159002","1","1","0","0","0","1","0","0"
"GSM159003","0","0","0","0","0","1","0","1"
"GSM159004","1","1","0","1","1","1","1","0"
"GSM159005","0","1","0","1","0","0","1","0"
"GSM159006","0","0","1","1","0","0","1","0"
"GSM159007","0","1","0","1","1","1","1","1"
"GSM159008","1","1","0","1","1","1","1","0"
"GSM159009","1","1","0","1","1","1","1","0"
"GSM159010","0","0","1","0","0","0","0","1"
"GSM159011","0","0","0","0","1","0","1","1"
"GSM159012","0","1","1","1","1","0","1","0"
"GSM159013","1","0","0","0","0","1","1","0"
"GSM159014","1","1","1","0","1","1","1","0"
"GSM159015","0","1","1","0","1","0","1","0"
"GSM159016","1","0","0","0","0","1","1","0"
"GSM159017","1","0","0","1","1","1","1","0"
"GSM159018","1","1","0","1","1","0","1","0"
"GSM159019","1","0","1","1","1","1","1","0"
"GSM159020","0","0","0","0","0","0","1","0"
"GSM159021","0","1","1","1","1","0","1","0"
"GSM159022","1","0","0","0","0","1","0","0"
"GSM159023","0","0","0","0","0","0","1","1"
"GSM159024","0","0","0","0","0","0","0","1"
"GSM159025","1","0","0","0","0","1","1","0"
"GSM159026","0","1","1","1","0","0","1","0"
"GSM159027","1","0","0","0","0","1","0","0"
"GSM159028","0","0","1","1","1","0","1","0"
"GSM159029","1","0","1","1","1","0","1","0"
"GSM159030","1","1","1","1","1","1","1","0"
"GSM159031","0","0","1","1","0","0","1","0"
"GSM159032","0","1","1","1","1","0","1","0"
"GSM159033","0","1","1","1","1","1","1","1"
"GSM159034","0","1","1","0","1","0","1","0"
"GSM159035","1","1","1","1","1","1","1","0"
"GSM159036","1","0","0","0","0","1","1","1"
"GSM159037","0","1","1","1","1","0","1","0"
"GSM159038","1","0","0","0","0","1","0","0"
"GSM159039","1","0","0","0","0","1","1","0"
"GSM159040","0","0","1","1","1","0","1","0"
"GSM159041","1","0","0","0","1","1","1","1"
"GSM159042","1","0","0","0","0","0","1","0"
"GSM159043","0","0","0","0","0","0","1","1"
"GSM159044","0","1","1","1","1","0","1","0"
"GSM159045","1","0","0","0","0","1","0","1"
"GSM159046","0","0","0","0","0","1","0","1"
"GSM159047","0","1","1","1","1","1","1","0"
"GSM159048","0","0","0","0","0","0","1","0"
"GSM159049","0","1","0","0","1","1","1","0"
"GSM159050","0","1","0","1","0","0","1","0"
"GSM159051","1","1","1","1","1","1","1","0"
"GSM159052","1","0","0","1","1","0","1","0"
"GSM159053","0","1","1","1","1","0","1","0"
"GSM159054","1","1","1","1","1","0","1","0"
"GSM159055","0","0","1","0","0","0","1","0"
"GSM159056","0","1","0","0","1","0","1","0"
"GSM159057","0","0","1","1","0","1","1","0"
"GSM159058","1","0","0","0","0","1","0","0"
"GSM159059","0","0","1","1","0","0","1","0"
"GSM159060","1","1","1","1","1","1","1","0"
"GSM159061","0","1","1","1","1","0","1","0"
"GSM159062","0","0","0","0","0","0","1","0"
"GSM159063","0","0","1","0","1","0","1","1"
"GSM159064","1","1","0","1","1","1","1","0"
"GSM159065","0","1","1","0","1","1","1","0"
"GSM159066","1","0","0","0","0","1","1","1"
"GSM159067","1","0","0","0","0","1","0","0"
"GSM159068","0","1","0","0","1","0","1","0"
"GSM159069","0","0","1","0","0","0","1","0"
"GSM159070","1","0","0","0","0","1","0","0"
"GSM159071","0","1","1","1","1","0","1","0"
"GSM159072","0","1","1","1","1","0","1","0"
