"","Ligene","Metzeler86","Bullinger","Marcucci","LSCR","HSCR","LSC17"
"GSM159016","2","1","2","1","2","2","2"
"GSM158934","2","1","2","2","2","2","2"
"GSM158833","1","1","2","2","2","1","2"
"GSM158814","2","1","2","2","2","2","2"
"GSM158817","2","1","2","1","2","2","2"
"GSM158800","1","1","1","1","1","1","1"
"GSM159005","2","1","2","2","2","1","1"
"GSM158878","2","1","2","1","1","1","1"
"GSM158997","2","1","2","2","2","2","2"
"GSM159132","1","1","1","2","1","2","1"
"GSM159165","1","1","2","2","1","1","1"
"GSM159031","1","1","1","2","2","2","1"
"GSM158926","1","1","2","2","2","2","2"
"GSM768706","1","1","1","2","1","1","1"
"GSM158880","2","1","2","1","2","2","2"
"GSM158713","2","2","2","1","2","2","2"
"GSM768691","1","1","2","2","2","1","2"
"GSM159058","2","2","2","1","2","2","2"
"GSM159164","2","1","2","1","1","1","2"
"GSM768748","1","1","2","2","1","2","2"
"GSM159074","1","1","2","2","1","1","2"
"GSM158777","1","1","1","1","1","1","1"
"GSM159149","1","1","1","2","1","1","1"
"GSM158746","2","1","2","1","1","2","2"
"GSM768695","2","1","2","1","2","1","2"
"GSM159025","2","1","2","1","2","2","2"
"GSM768716","1","1","1","2","1","1","1"
"GSM158821","1","1","1","1","1","1","1"
"GSM768688","2","2","2","2","2","2","2"
"GSM158937","1","1","1","1","1","1","1"
"GSM158722","1","1","2","2","2","1","1"
"GSM158851","1","1","1","2","1","1","1"
"GSM158807","1","1","1","1","1","1","1"
"GSM768738","1","1","1","1","1","1","1"
"GSM768687","1","1","1","2","1","1","1"
"GSM158910","2","2","2","2","2","2","2"
"GSM159117","2","1","1","2","1","2","2"
"GSM158723","1","1","2","2","1","1","2"
"GSM158860","1","1","2","2","1","1","1"
"GSM159082","1","1","2","1","2","1","1"
"GSM158750","2","1","2","2","2","1","1"
"GSM768689","2","1","2","1","2","2","2"
"GSM768720","2","1","1","2","1","1","1"
"GSM159105","1","1","2","2","2","2","1"
"GSM159093","1","1","2","2","2","1","2"
"GSM158844","2","1","2","2","2","1","2"
"GSM158842","2","1","2","1","2","2","2"
"GSM159032","1","1","2","2","1","1","1"
"GSM159118","1","1","2","2","2","1","2"
"GSM158760","1","1","1","1","1","1","1"
"GSM158867","1","1","1","1","1","1","1"
"GSM158883","2","1","1","1","1","1","1"
"GSM158863","1","1","1","1","1","1","1"
"GSM768715","1","1","2","2","2","2","2"
"GSM158906","2","1","2","2","2","1","2"
"GSM159038","2","2","2","1","2","2","2"
"GSM158803","2","1","2","2","2","2","1"
"GSM158785","2","2","2","1","2","2","2"
"GSM158916","1","1","2","1","1","1","1"
"GSM158808","2","1","2","2","2","2","2"
"GSM159102","1","1","2","2","2","2","2"
"GSM158726","2","2","2","2","2","2","1"
"GSM158981","1","1","1","1","1","1","1"
"GSM159161","2","1","2","2","2","2","2"
"GSM158764","1","1","1","1","1","1","1"
"GSM159162","2","1","2","2","2","2","2"
"GSM159044","1","1","2","2","1","1","1"
"GSM158769","1","1","2","1","2","2","2"
"GSM158835","2","1","2","2","2","2","2"
"GSM158751","2","1","1","1","1","1","1"
"GSM158719","2","1","2","2","1","1","2"
"GSM159091","1","1","1","1","1","1","1"
"GSM158993","2","1","1","2","2","2","1"
"GSM159168","1","1","2","2","1","2","2"
"GSM158738","1","1","2","2","1","1","1"
"GSM768686","2","1","1","2","1","1","1"
"GSM158890","1","1","2","1","2","1","2"
"GSM768714","1","1","2","1","1","2","2"
"GSM158940","2","1","2","1","1","1","2"
"GSM159057","1","1","1","1","2","2","1"
"GSM158932","2","1","1","1","1","1","2"
"GSM158948","1","1","2","1","1","1","1"
"GSM158739","2","1","1","1","1","1","1"
"GSM159111","1","1","2","2","1","1","1"
"GSM159047","1","1","1","1","1","1","1"
"GSM158900","1","1","2","2","2","2","1"
"GSM159009","2","1","1","1","1","1","1"
"GSM158988","1","1","2","2","1","1","2"
"GSM159021","1","1","1","2","1","1","1"
"GSM158904","1","1","2","2","2","2","1"
"GSM158947","1","1","2","2","1","2","2"
"GSM159163","2","2","2","2","2","2","2"
"GSM768682","2","1","1","1","1","2","2"
"GSM158789","2","2","2","2","2","2","2"
"GSM158776","2","2","2","1","2","2","2"
"GSM159011","2","1","2","2","1","2","2"
"GSM159158","2","1","2","2","2","2","2"
"GSM158896","1","1","2","1","1","2","1"
"GSM158782","1","1","2","1","2","1","2"
"GSM159065","1","1","2","1","1","1","2"
"GSM158730","2","1","2","2","2","2","2"
"GSM158864","2","2","2","1","2","2","2"
"GSM158998","1","1","2","2","1","1","1"
"GSM159103","2","1","2","2","2","2","2"
"GSM768735","2","1","2","2","2","1","2"
"GSM768699","2","1","2","2","2","2","2"
"GSM159064","2","1","1","1","1","1","1"
"GSM159068","2","1","2","2","1","1","2"
"GSM159128","2","1","1","1","1","2","1"
"GSM159119","2","1","1","1","1","1","1"
"GSM158915","1","1","2","2","2","2","1"
"GSM158894","1","1","2","2","2","2","2"
"GSM158765","2","1","1","1","1","2","1"
"GSM158975","1","1","2","2","2","1","1"
"GSM159080","1","1","1","2","1","1","1"
"GSM158714","1","1","1","1","1","1","1"
"GSM158881","2","1","2","2","2","2","2"
"GSM158974","1","1","1","1","1","1","1"
"GSM158763","2","2","2","2","2","2","2"
"GSM158753","2","1","2","1","2","2","2"
"GSM158919","2","1","2","2","2","2","2"
"GSM158858","2","1","2","1","2","2","2"
"GSM158717","2","1","1","1","1","1","1"
"GSM768743","1","1","1","1","1","1","1"
"GSM159151","1","1","1","1","1","1","1"
"GSM158795","2","2","2","1","2","2","2"
"GSM158929","2","2","2","1","2","2","2"
"GSM768681","1","1","1","2","1","2","1"
"GSM158802","1","1","1","2","1","1","1"
